"nama_prodi","asal_kab_kota","asal_provinsi","periode_tahun","periode_bulan","periode_tanggal","jumlah_pendaftar"
Fisika,Pandeglang,Banten,2020,6,1,5
Ilmu Komunikasi,Saumlaki,Maluku,2020,6,1,5
Kedokteran Umum,Saumlaki,Maluku,2020,6,1,5
Kimia,Tanjung Balai Karimun,Kepulauan Riau,2020,6,1,5
Teknik Mesin,Banjarbaru,Kalimantan Selatan,2020,6,1,5
Ekonomi,Sungailiat,Kepulauan Bangka Belitung,2020,6,1,4
Ekonomi,Majene,Sulawesi Barat,2020,6,1,4
Fisika,Poso,Sulawesi Tengah,2020,6,1,4
Ilmu Komunikasi,Tobelo,Maluku Utara,2020,6,1,4
Ilmu Komunikasi,Tanjung Balai Karimun,Kepulauan Riau,2020,6,1,4
Kedokteran Umum,Kota Baru,Jambi,2020,6,1,4
Kedokteran Umum,Timika,Papua,2020,6,1,4
Kimia,Tidore,Maluku Utara,2020,6,1,4
Kimia,Nabire,Papua,2020,6,1,4
Kimia,Curup,Bengkulu,2020,6,1,4
Manajemen,Solo,Jawa Tengah,2020,6,1,4
Manajemen,Ketapang,Kalimantan Barat,2020,6,1,4
Manajemen,Manna,Bengkulu,2020,6,1,4
Manajemen,Limboto,Gorontalo,2020,6,1,4
Teknik Sipil,Jakarta Utara,DKI Jakarta,2020,6,1,4
Teknik Sipil,Sleman,DI Yogyakarta,2020,6,1,4
Ekonomi,Curup,Bengkulu,2020,6,1,3
Ekonomi,Sorong,Papua Barat,2020,6,1,3
Ekonomi,Tidore,Maluku Utara,2020,6,1,3
Fisika,Muara Tebo,Jambi,2020,6,1,3
Fisika,Manna,Bengkulu,2020,6,1,3
Fisika,Nunukan,Kalimantan Utara,2020,6,1,3
Fisika,Kotamobagu,Sulawesi Utara,2020,6,1,3
Ilmu Komunikasi,Sorong,Papua Barat,2020,6,1,3
Ilmu Komunikasi,Dompu,Nusa Tenggara Barat,2020,6,1,3
Kedokteran Umum,Sangatta,Kalimantan Timur,2020,6,1,3
Kedokteran Umum,Dabo Singkep,Kepulauan Riau,2020,6,1,3
Kedokteran Umum,Tidore,Maluku Utara,2020,6,1,3
Kedokteran Umum,Batam,Kepulauan Riau,2020,6,1,3
Kedokteran Umum,Dharmasraya,Sumatera Barat,2020,6,1,3
Kimia,Ende,Nusa Tenggara Timur,2020,6,1,3
Kimia,Bangkinang,Riau,2020,6,1,3
Kimia,Madiun,Jawa Timur,2020,6,1,3
Kimia,Gianyar,Bali,2020,6,1,3
Kimia,Banjarbaru,Kalimantan Selatan,2020,6,1,3
Kimia,Singkawang,Kalimantan Barat,2020,6,1,3
Kimia,Sungailiat,Kepulauan Bangka Belitung,2020,6,1,3
Manajemen,Kotamobagu,Sulawesi Utara,2020,6,1,3
Manajemen,Timika,Papua,2020,6,1,3
Manajemen,Dompu,Nusa Tenggara Barat,2020,6,1,3
Manajemen,Lebak,Banten,2020,6,1,3
Manajemen,Pangkalan Bun,Kalimantan Tengah,2020,6,1,3
Teknik Elektro,Muntok,Kepulauan Bangka Belitung,2020,6,1,3
Teknik Elektro,Kuala Kurun,Kalimantan Tengah,2020,6,1,3
Teknik Elektro,Sungailiat,Kepulauan Bangka Belitung,2020,6,1,3
Teknik Elektro,Limboto,Gorontalo,2020,6,1,3
Teknik Elektro,Binjai,Sumatera Utara,2020,6,1,3
Teknik Elektro,Tobelo,Maluku Utara,2020,6,1,3
Teknik Elektro,Nunukan,Kalimantan Utara,2020,6,1,3
Teknik Mesin,Sungailiat,Kepulauan Bangka Belitung,2020,6,1,3
Teknik Mesin,Ternate,Maluku Utara,2020,6,1,3
Teknik Mesin,Sambas,Kalimantan Barat,2020,6,1,3
Teknik Mesin,Rantau,Kalimantan Selatan,2020,6,1,3
Teknik Sipil,Bangkinang,Riau,2020,6,1,3
Teknik Sipil,Maros,Sulawesi Selatan,2020,6,1,3
Ekonomi,Bontang,Kalimantan Timur,2020,6,1,2
Ekonomi,Muara Bulian,Jambi,2020,6,1,2
Ekonomi,Muara Tebo,Jambi,2020,6,1,2
Ekonomi,Lebak,Banten,2020,6,1,2
Ekonomi,Sungguminasa,Sulawesi Selatan,2020,6,1,2
Ekonomi,Tomohon,Sulawesi Utara,2020,6,1,2
Ekonomi,Jember,Jawa Timur,2020,6,1,2
Ekonomi,Tarakan,Kalimantan Utara,2020,6,1,2
Ekonomi,Selat Panjang,Riau,2020,6,1,2
Ekonomi,Tabanan,Bali,2020,6,1,2
Ekonomi,Padang Sidempuan,Sumatera Utara,2020,6,1,2
Ekonomi,Praya,Nusa Tenggara Barat,2020,6,1,2
Ekonomi,Timika,Papua,2020,6,1,2
Ekonomi,Gianyar,Bali,2020,6,1,2
Ekonomi,Lubuklinggau,Sumatera Selatan,2020,6,1,2
Ekonomi,Tanjung Balai Karimun,Kepulauan Riau,2020,6,1,2
Ekonomi,Marabahan,Kalimantan Selatan,2020,6,1,2
Ekonomi,Tilamuta,Gorontalo,2020,6,1,2
Fisika,Marisa,Gorontalo,2020,6,1,2
Fisika,Kota Baru,Jambi,2020,6,1,2
Fisika,Wates,DI Yogyakarta,2020,6,1,2
Fisika,Sekayu,Sumatera Selatan,2020,6,1,2
Fisika,Klungkung,Bali,2020,6,1,2
Fisika,Sungailiat,Kepulauan Bangka Belitung,2020,6,1,2
Fisika,Tidore,Maluku Utara,2020,6,1,2
Fisika,Donggala,Sulawesi Tengah,2020,6,1,2
Fisika,Tasikmalaya,Jawa Barat,2020,6,1,2
Fisika,Sleman,DI Yogyakarta,2020,6,1,2
Fisika,Magelang,Jawa Tengah,2020,6,1,2
Fisika,Pagar Alam,Sumatera Selatan,2020,6,1,2
Fisika,Tarakan,Kalimantan Utara,2020,6,1,2
Fisika,Tual,Maluku,2020,6,1,2
Fisika,Balikpapan,Kalimantan Timur,2020,6,1,2
Fisika,Dabo Singkep,Kepulauan Riau,2020,6,1,2
Fisika,Kolaka,Sulawesi Tenggara,2020,6,1,2
Fisika,Bitung,Sulawesi Utara,2020,6,1,2
Fisika,Cilegon,Banten,2020,6,1,2
Fisika,Tangerang,Banten,2020,6,1,2
Fisika,Sambas,Kalimantan Barat,2020,6,1,2
Fisika,Mempawah,Kalimantan Barat,2020,6,1,2
Ilmu Komunikasi,Gianyar,Bali,2020,6,1,2
Ilmu Komunikasi,Bekasi,Jawa Barat,2020,6,1,2
Ilmu Komunikasi,Timika,Papua,2020,6,1,2
Ilmu Komunikasi,Maumere,Nusa Tenggara Timur,2020,6,1,2
Ilmu Komunikasi,Pagar Alam,Sumatera Selatan,2020,6,1,2
Ilmu Komunikasi,Majene,Sulawesi Barat,2020,6,1,2
Ilmu Komunikasi,Pematangsiantar,Sumatera Utara,2020,6,1,2
Ilmu Komunikasi,Mamasa,Sulawesi Barat,2020,6,1,2
Ilmu Komunikasi,Limboto,Gorontalo,2020,6,1,2
Ilmu Komunikasi,Jakarta Timur,DKI Jakarta,2020,6,1,2
Ilmu Komunikasi,Singkawang,Kalimantan Barat,2020,6,1,2
Ilmu Komunikasi,Poso,Sulawesi Tengah,2020,6,1,2
Ilmu Komunikasi,Donggala,Sulawesi Tengah,2020,6,1,2
Ilmu Komunikasi,Pekalongan,Jawa Tengah,2020,6,1,2
Ilmu Komunikasi,Lebak,Banten,2020,6,1,2
Ilmu Komunikasi,Jember,Jawa Timur,2020,6,1,2
Ilmu Komunikasi,Wates,DI Yogyakarta,2020,6,1,2
Ilmu Komunikasi,Sekayu,Sumatera Selatan,2020,6,1,2
Ilmu Komunikasi,Singaraja,Bali,2020,6,1,2
Ilmu Komunikasi,Langsa,Aceh,2020,6,1,2
Kedokteran Umum,Jakarta Barat,DKI Jakarta,2020,6,1,2
Kedokteran Umum,Dompu,Nusa Tenggara Barat,2020,6,1,2
Kedokteran Umum,Maros,Sulawesi Selatan,2020,6,1,2
Kedokteran Umum,Bekasi,Jawa Barat,2020,6,1,2
Kedokteran Umum,Depok,Jawa Barat,2020,6,1,2
Kedokteran Umum,Raha,Sulawesi Tenggara,2020,6,1,2
Kedokteran Umum,Nabire,Papua,2020,6,1,2
Kedokteran Umum,Singaraja,Bali,2020,6,1,2
